name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas
Yogur de fresas Pastoret sin gluten 500 g.,"3,19 €",3.1 g,96.0 Kcal,403.0 KJ,0.1 g,12.1 g,4.2 g
Leche condensada desnatada Nestlé La Lechera sin lactosa 387 g.,"2,75 €",0.2 g,281 Kcal,1194 KJ,0.24 g,60.8 g,8.7 g
Leche fermentada natural Kaiku sin lactosa pack de 4 unidades de 125 g.,"2,39 €",3.5 g,54 Kcal,222 KJ,0.12 g,3.7 g,3.4 g
Judias verdes al natural extra ecológicas Pedro Luis 360 g.,"3,35 €",0.5 g,12.2 Kcal,51.3 KJ,0.8 g,1.8 g,0.7 g
Cereales con frutas y frutos secos Muesli Carrefour 750 g.,"2,89 €",5.8 g,361.0 Kcal,1523.0 KJ,0.6 g,64.0 g,9.1 g
Mini bombón helado chocolate blanco almendrado Extra Carrefour 8 ud.,"3,05 €",23 g,358 Kcal,1494 KJ,0.28 g,33 g,4.5 g
Pizza de peperoni ahumado Carrefour 320 g.,"2,06 €",14 g,275 Kcal,1151 KJ,1.3 g,24 g,12 g
Palitos de bacalao salado 300 g aprox,"7,44 €",1 g,97 Kcal,411 KJ,,0 g,22 g
Sopa de verduras Gallina Blanca 51 g.,"1,63 €",0.8 g,31 Kcal,132 KJ,0.81 g,5.5 g,0.4 g
Patatas en pétalos McCain 500 g.,"3,45 €",5.5 g,160 Kcal,670 KJ,0.4 g,23.5 g,2.5 g
Galletas con chocolate con leche Granola Fontaneda 300 g.,"3,15 €",21 g,492 Kcal,2063 KJ,1.5 g,65 g,7.5 g
Berberechos al natural Dani sin gluten 62 g.,"6,65 €",1 g,65 Kcal,270 KJ,1.5 g,0 g,14 g
Huevas rojas de lumpo procedente de pesca sostenible Carrefour 80 g,"2,69 €",3.1 g,66 Kcal,275 KJ,5.0 g,0.7 g,8.7 g
Chorizo extra Carrefour 2x120 g,"2,09 €",,345 Kcal,1467 KJ,3 g,,19 g
Banderillas sabor anchoa Rioverde sin gluten 170 g.,"2,39 €",2 g,38 Kcal,158 KJ,1 g,2 g,3 g
Queso de mezcla tierno Cañada Mayor 250 g.,"3,59 €",29.0 g,357.0 Kcal,1495.0 KJ,1.7 g,0.5 g,23.0 g
Galletas con arroz y cereales integrales al cacao Vitalgrain Gullón 250 g.,"2,99 €",19 g,460 Kcal,1927 KJ,0.48 g,60 g,7.3 g
Chocolate con leche Nestlé Extrafino sin gluten 150 g.,"1,68 €",31.1 g,542 Kcal,2265 KJ,0.16 g,58.4 g,6.3 g
Masa de hojaldre Carrefour Classic' pack de 2 unidades de 230 g.,"2,19 €",23 g,395 Kcal,1648 KJ,1 g,37 g,5.9 g
Queso fondue Original Carrefour 400 g.,"4,59 €",18 g,237 Kcal,992 KJ,1.5 g,2.5 g,14 g
Coca Cola pack 12 latas 33 cl.,"10,44 €",0 g,42.0 Kcal,180.0 KJ,0 g,10.6 g,0 g
Galletas bañadas con chocolate blanco sabor frutos rojos Filipinos Artiach 128 g.,"1,53 €",27 g,523 Kcal,2186 KJ,0.7 g,63 g,6 g
Bizcocho mármol 400 g,"3,89 €",24.7 g,445.5 Kcal,1861.3 KJ,0.1 g,46.2 g,6.9 g
Preparado de soja natural edulcorado sin azúcar añadido  Danone Savia pack de 4 unidades de 120 g.,"2,69 €",1.9 g,50 Kcal,209 KJ,0.1 g,2.3 g,4.2 g
Bizcocho recubierto de frambuesa y chocolate Pims Fontaneda 150 g.,"3,15 €",13 g,397 Kcal,1672 KJ,0.45 g,65 g,3.4 g
Fresas de goma rellenas Classic Carrefour sin gluten 200 g.,"1,07 €",0.0 g,324.0 Kcal,1379.0 KJ,0.1 g,77.0 g,4.0 g
Queso de mezcla viejo Campo Real cuña de 250 g,"5,69 €",40.5 g,471 Kcal,1951 KJ,1.9 g,1 g,29.6 g
Chocolate negro especial postres Carrefour Original 200 g.,"1,45 €",30.0 g,524.0 Kcal,2186.0 KJ,0.02 g,51.0 g,7.0 g
Pizza boloñesa Carrefour 375 g.,"2,06 €",12.0 g,233.0 Kcal,973.0 KJ,1.1 g,21.0 g,9.0 g
Helado de bombones de chocolate y avellana Extra Carrefour 18 ud,"2,95 €",21 g,310 Kcal,1292 KJ,0.11 g,26 g,3.5 g
Lasaña de Carne Price 300 g.,"0,89 €",3.3 g,110 Kcal,462 KJ,0.95 g,15 g,4.7 g
Pizza de atún Ristorante Dr. Oetker 355 g.,"3,89 €",9.7 g,227 Kcal,952 KJ,0.98 g,23 g,10 g
"Zumo Florida Sunny Delight 1,25 l.","1,95 €",0.0 g,17 Kcal,71 KJ,0.05 g,3.5 g,0.0 g
Natillas de chocolate Kaiku sin lactosa pack de 2 unidades de 125 g.,"2,45 €",2.8 g,117 Kcal,498 KJ,0.1 g,19.5 g,3.5 g
Noodles ecológicos Slim 270 g.,"3,29 €",0.0 g,9.0 Kcal,32.0 KJ,0.0 g,0.0 g,0.2 g
Calamares en salsa americana Albo pack de 3 unidades de 50 g.,"7,19 €",34 g,387 Kcal,1600 KJ,1.8 g,3.5 g,16 g
Calabacín en dados Carrefour 450 g.,"1,22 €",,16 Kcal,68 KJ,,2.4 g,1.1 g
Lasaña de salmón Maheso 280 g.,"4,65 €",6.0 g,150 Kcal,631 KJ,0.54 g,16 g,7.9 g
Cocktail de encurtidos Rioverde sin gluten 380 g.,"2,39 €",0.2 g,20 Kcal,82 KJ,2.8 g,2.5 g,0.8 g
Yogur liquido desnatado piña sin azúcar añadido Carrefour Classic´1 kg.,"1,45 €",0.5 g,30 Kcal,128 KJ,0.11 g,4.4 g,2.9 g
Espinacas a a la crema Findus 450 g.,"3,89 €",3.1 g,55 Kcal,227 KJ,0.65 g,3.5 g,2 g
Chorizo Asturiano El Chico 250 g,"2,78 €",50.4 g,526 Kcal,2174 KJ,4.4 g,3.8 g,18.2 g
Mermelada de fresa ecológica Carrefour Bio 350 g.,"2,95 €",0 g,197 Kcal,835 KJ,0 g,48 g,0.5 g
Espárragos blancos gruesos 6/12 Carrefour 325 g.,"2,99 €",0 g,18 Kcal,75 KJ,1 g,2 g,2 g
"Cerveza 0,0% alcohol Carrefour lata 33 cl.","0,35 €",,24 Kcal,103 KJ,,5.8 g,0.50 g
Cereales Rellenos de Crema de Leche Sin Gluten Carrefour 500 gr.,"2,49 €",13 g,422 Kcal,1776 KJ,0.82 g,70 g,5.2 g
Solomillo de salmón ahumado Carrefour Selección 150 g.,"10,09 €",13 g,212 Kcal,886 KJ,3.2 g,0.8 g,23 g
Tabla de Patés Carrefour El Mercado sin gluten pack de 4 unidades de 50 g,"3,95 €",26.0 g,281.0 Kcal,1163.0 KJ,1.7 g,2.0 g,10.0 g
Néctar de pera Granini Selección botella 1 l.,"2,89 €",0.5 g,45 Kcal,190 KJ,0 g,10.7 g,0.5 g
Cerveza Grolsch premium lager botella 45 cl.,"2,35 €",0.0 g,40.0 Kcal,165.0 KJ,0.0 g,3.7 g,0.0 g
Bífidus natural Danone Activia pack de 4 unidades de 120 g.,"2,79 €",3.8 g,66 Kcal,276 KJ,0.10 g,3.9 g,3.3 g
Jamón Cocido Extra en finas lonchas Carrefour El Mercado 200 g,"2,19 €",2.5 g,98 Kcal,412 KJ,1.90 g,0.5 g,90 g
Galletas de avena y naranja Digestive Gullón 425 g.,"2,19 €",21 g,475 Kcal,1989 KJ,0.98 g,60 g,8.1 g
Picos Gourmet Carrefour 130 g,"1,55 €",3 g,389 Kcal,1647 KJ,2 g,76 g,12 g
"Chicles sabor fresa Trident sin azúcar 82,6 g.","3,09 €",0.9 g,183 Kcal,760 KJ,0.02 g,70 g,0.4 g
Cacao soluble Dulcinea sin Gluten 500 g.,"1,99 €",2.3 g,377 Kcal,1597 KJ,0.01 g,81 g,4.9 g
Cerveza tostada Estrella Galicia 0.0 alcohol pack 6 botellas 25 cl.,"3,99 €",0 g,24 Kcal,101 KJ,0 g,5.2 g,0 g
Mini empanadilla de atún 12 ud,"3,90 €",11.8 g,290 Kcal,1218 KJ,1.4 g,38 g,7.4 g
Galletas rellenas de crema de chocolate Tosta Rica Cuétara 168 g.,"3,15 €",20 g,488 Kcal,2050 KJ,0.49 g,70 g,5.9 g
Zumo de manzana exprimido Carrefour brik 1 l.,"1,50 €",,47.0 Kcal,199.0 KJ,,12.0 g,
Helado Pirulo mini tropical Nestlé sin gluten 6 ud.,"5,09 €",0.5 g,74 Kcal,312 KJ,0.01 g,17 g,0.5 g
Porras prefritas Maheso sin aceite de palma 320 g.,"3,65 €",18 g,355 Kcal,1484 KJ,1.5 g,41 g,6.0 g
Yogur de fresa con grageas de chocolate Nestlé Smarties pack de 2 unidades de 128 g.,"1,99 €",4.6 g,120 Kcal,506 KJ,0.17 g,15.2 g,4.3 g
Bebida de fruta naranja y mango Granini Selección Mix botella 1 l.,"3,05 €",0.5 g,41 Kcal,173 KJ,0 g,9.2 g,0.5 g
Tónica Carrefour lata 33 cl.,"0,37 €",0 g,18 Kcal,75.36 KJ,0.01 g,4.4 g,0 g
Cerveza Budweiser Lager pack de 6 botellas de 25 cl.,"5,05 €",0 g,39 Kcal,162 KJ,0 g,2.9 g,0.4 g
Gusanitos ecológico Smileat sin gluten 38 gr,"2,09 €",15.2 g,375 Kcal,1572 KJ,0 g,51.2 g,6.3 g
Crema de calabacín 485 ml,"2,19 €",2.7 g,56 Kcal,233 KJ,0.37 g,5.7 g,1.5 g
Chocolate negro con almendras Nestlé sin gluten 270 g.,"3,79 €",34.9 g,550 Kcal,2291 KJ,0.0 g,47.5 g,7.7 g
Bolitas de galleta y chocolate Carrefour 175 g.,"2,95 €",23 g,487 Kcal,2040 KJ,0.35 g,62 g,6.8 g
Cocktail de aperitivos Frit Ravich 100 g.,"1,87 €",34 g,544 Kcal,2266 KJ,2.5 g,53 g,3.7 g
Hogaza Airos sin gluten 250 g,"3,25 €",5.1 g,269.0 Kcal,1133.0 KJ,1.1 g,50.0 g,2.7 g
Pizza salame vegano Ristorante Dr. Oetker 295 g.,"4,29 €",10 g,224 Kcal,936 KJ,,27 g,4.1 g
"Tortitas de maíz sabor barbacoa Bicentury 123,5 g.","2,59 €",15 g,450 Kcal,1893 KJ,0.84 g,71 g,6.6 g
Mermelada de piña Diet La Vieja Fábrica sin gluten 280 g.,"3,15 €",0 g,168 Kcal,715 KJ,0 g,40 g,0.7 g
"Barrita de frutos secos y cacahuetes Nakd sin gluten, sin lactosa y sin azúcar añadido 140 g.","3,45 €",21.5 g,425.0 Kcal,1776.0 KJ,0.6 g,41.7 g,13.6 g
Crema de cacao y avellanas sin leche ecológica Nocciolata Rigoni 250 g.,"3,79 €",33.0 g,545.0 Kcal,2273.0 KJ,0.0 g,55.0 g,5.4 g
Batido de chocolate shake Milka 200 ml.,"1,56 €",1.1 g,71 Kcal,300 KJ,0.21 g,11 g,3.6 g
Bolsita de multifrutas con galleta desde 6 meses Hero Baby 100 g.,"1,30 €",0.4 g,64 Kcal,272 KJ,0.02 g,13.1 g,1.4 g
Salsa bechamel Carrefour sobre 60 g.,"1,50 €",23 g,453 Kcal,1896.62 KJ,7.2 g,58 g,3.4 g
Picatostes de pan fritos en aceite de oliva 100 g,"1,99 €",32.7 g,549 Kcal,2291.9 KJ,1.6 g,56.3 g,6.8 g
Salchichas Frankfurt El Pozo sin gluten pack de 3 unidades 160 g,"1,99 €",18.5 g,231.19 Kcal,968 KJ,2.1 g,4.5 g,12 g
Pepinillos sabor anchoa Sensation Carrefour 180 g.,"1,27 €",0 g,21 Kcal,90 KJ,3 g,3 g,2 g
Salsa barbacoa Heinz envase 400 ml.,"4,05 €",0.2 g,129 Kcal,541 KJ,1.5 g,29 g,1 g
Langostino salvaje cocido 24/32 Carrefour 800 g.,"13,59 €",1.0 g,92.0 Kcal,390.0 KJ,1.3 g,0.5 g,20.0 g
Caramelos sabor limón Respiral sin gluten 350 g.,"4,29 €",0.1 g,388 Kcal,1651 KJ,0.01 g,97 g,0.1 g
Aceite de oliva virgen extra arbequina Oro Bailén 500 ml.,"12,89 €",91.4 g,824 Kcal,3389 KJ,0 g,0 g,0 g
Margarina original ProActiv sin gluten sin lactosa sin aceite de palma 450 g.,"4,95 €",35 g,315 Kcal,1296 KJ,0.3 g,0.5 g,0.5 g
Tomate frito estilo casero Solís sin gluten tarro 550 g.,"2,85 €",7.0 g,102 Kcal,425 KJ,0.89 g,7.8 g,1.3 g
Chocolate con leche ecológico Carrefour Bio 100 g.,"1,99 €",39.0 g,576.0 Kcal,2398.0 KJ,0.2 g,46.0 g,8.6 g
Vino tinto Carrefour pack 3 brik 20 cl.,"1,41 €",0.50 g,77 Kcal,319 KJ,0.010 g,0.50 g,1 g
Garbanzos tostados y salados Carrefour 125 g.,"0,99 €",3.1 g,353 Kcal,1489 KJ,1.2 g,55 g,21 g
Pechuga de pollo sin grasas si azucares El Pozo Bienstar sin gluten y sin lactosa 340 g,"3,79 €",0.5 g,68.5 Kcal,290.5 KJ,1.8 g,2 g,14 g
Néctar tropical Carrefour brik 1 l.,"1,13 €",0 g,33 Kcal,139 KJ,,8 g,
Café Molido Descafeinado Cultivo Sostenible Bonka Nestlé 400 g.,"5,95 €",11.7 g,235 Kcal,966 KJ,0.01 g,0.1 g,13.8 g
Patatas Mediterrean Mc Cain 750 g.,"3,69 €",5 g,145 Kcal,609 KJ,0.5 g,21 g,2.5 g
Appletiser 100% zumo de manzana con burbujas finas lata 25 cl.,"0,90 €",0 g,46 Kcal,195 KJ,0 g,10.8 g,0 g
Placas para lasaña precocidas El Pavo 200 g.,"1,43 €",1.4 g,360 Kcal,1514 KJ,0 g,73 g,12 g
Pan media hogaza rebozada 400 g,"1,99 €",7 g,304 Kcal,1283 KJ,1.2 g,47 g,12 g
Cerveza Sol botella 33 cl.,"1,81 €",0.01 g,41 Kcal,,0 g,3.6 g,0.2 g
Crema de untar vegana Vegetal Philadelphia 145 g.,"2,99 €",21 g,218 Kcal,900 KJ,0.76 g,2.2 g,3.3 g
Arándanos rojos deshidratados ecológicos Carrefour Bio doy pack 125 g.,"2,25 €",1.2 g,307 Kcal,1302 KJ,0.03 g,71 g,1.6 g
Kétchup Hellmann's envase 430 g.,"2,69 €",0.5 g,100 Kcal,426 KJ,2.2 g,23 g,1 g
Chipirón enharinado congelado Carrefour 300 g.,"4,05 €",12 g,204 Kcal,851 KJ,1.1 g,16 g,8.5 g
Yogur sabor limón Danone sin gluten pack de 4 unidades de 120 g.,"0,99 €",2.2 g,72 Kcal,300 KJ,0.11 g,10.0 g,3.0 g
Preparado lácteo infantil de crecimiento desde 1 año en polvo sin azúcares añadidos Nutribén Innova 3 sin aceite de palma lata 800 g.,"22,70 €",17.8 g,452 Kcal,1898 KJ,0.18 g,67.5 g,4.9 g
Café latte brownie Kaiku sin gluten sin lactosa 230 ml.,"1,95 €",1.4 g,60 Kcal,255 KJ,0.08 g,8.5 g,3.3 g
Salsa de ostras Yang-Tse botella 150 ml.,"2,69 €",0 g,0 Kcal,0 KJ,0 g,0 g,0 g
Fideos orientales de pollo Sensation Carrefour 65 g.,"0,85 €",22.6 g,513.0 Kcal,2149.0 KJ,5.0 g,64.2 g,
Bonito del Norte al natural Carrefour 74 g.,"1,79 €",3 g,123 Kcal,519 KJ,1.5 g,,24 g
Ositos de goma recubiertos de azúcar Haribo 275 g.,"3,39 €",0.5 g,333 Kcal,1418 KJ,0.01 g,77 g,5.5 g
Conos Nocilla Cornetto Disc 4 ud.,"4,99 €",22 g,386 Kcal,1615 KJ,0.18 g,40 g,5.2 g
Gazpacho con aceite de oliva virgen extra Santa Teresa sin gluten 1 l.,"5,05 €",3.3 g,52.0 Kcal,214.0 KJ,0.8 g,4.0 g,0.8 g
Bebida de almendras original Almond Breeze sin gluten sin lactosa brik 1 l.,"2,09 €",1.1 g,24 Kcal,101 KJ,0.13 g,2.9 g,0.5 g
Raviolis al huevo con carne Classic Carrefour 420 g.,"1,79 €",2.9 g,95 Kcal,401 KJ,1.1 g,14.5 g,2.8 g
Raviolis de queso de cabra y cebolla caramelizada Rana Gourmet 250 g.,"4,09 €",8 g,235 Kcal,987 KJ,1.1 g,27 g,11 g
Pepinillos en lonchas Kühne 185 g.,"4,09 €",0.1 g,36 Kcal,152 KJ,1.2 g,7 g,0.6 g
Galletas rellenas de chocolate Zero Gullón sin azúcar añadido 250 g.,"2,29 €",17 g,422 Kcal,1763 KJ,0.60 g,67 g,6.7 g
Galletas con almendra y zanahoria Diat Rádisson 220 g.,"2,59 €",16 g,465 Kcal,1955 KJ,0.2 g,72 g,6.5 g
Natureo Tinto 2022,"8,85 €",0 g,0 Kcal,0 KJ,0 g,0 g,0 g
Ensaimada Carrefour 220 g.,"1,07 €",25 g,462 Kcal,1929 KJ,0.72 g,51 g,7 g
Queso emmental en lonchas Carrefour 150 g.,"1,88 €",29 g,370 Kcal,1535 KJ,1.6 g,0 g,27 g
Paté de atún Casa Tarradellas sin gluten 125 g.,"1,57 €",15.1 g,205 Kcal,851 KJ,2 g,7.4 g,9.8 g
Crema de queso brie con trufa Président 105 g.,"1,99 €",23 g,262 Kcal,1086 KJ,2 g,1.8 g,12 g
Pechuga de Pavo en finas lonchas Carrefour El Mercado sin gluten 200 g,"1,99 €",0.5 g,74 Kcal,316 KJ,1.85 g,0.5 g,17 g
Preparado vegano tipo hamburguesa a base de proteína de soja Garden Gourmet 226 g.,"4,19 €",13.5 g,197 Kcal,817 KJ,0.9 g,1.9 g,14 g
Pan de brioche para hamburguesa DulceSol 4 ud.,"1,99 €",4.2 g,266 Kcal,1126 KJ,1.2 g,46 g,10 g
Empanada rectangular de pollo con champiñones Carrefour 700 g,"5,90 €",15 g,290 Kcal,1213 KJ,0.6 g,32 g,6.1 g
Yogur con bolitas cubiertas de chocolate Mix-in Nestlé Kit Kat pack de 2 unidades de 115 g.,"1,99 €",8.0 g,745 Kcal,178 KJ,0.16 g,21.2 g,4.9 g
Postre lácteo de pera desde 6 meses Nestlé Yogolino sin gluten pack de 4 unidades de 100 g.,"2,95 €",3.2 g,91 Kcal,383 KJ,0.088 g,12.2 g,3.1 g
Pechuga de pollo al natural Classic Carrefour pack de 2 unidades de 52 g.,"2,09 €",1 g,113 Kcal,479 KJ,1.2 g,,26 g
Tortitas de maíz sabor jamón ibérico Bicentury 124 g.,"2,29 €",15 g,467 Kcal,1967 KJ,1.5 g,74 g,8.3 g
"Queso fundido en lonchas Tranchettes La Vaca Que Ríe sin gluten 412,5 g.","3,65 €",13.5 g,196.0 Kcal,814.0 KJ,3.3 g,5.0 g,13.5 g
Caramelos bubble fresh sin azúcar Smint sin gluten pack de 2 unidades de 35 g.,"4,09 €",0.6 g,241 Kcal,1003 KJ,0 g,98 g,0 g
Batido de cacao Original Cacaolat sin gluten pack de 4 botellas de 200 ml.,"3,89 €",1.5 g,80.0 Kcal,333.0 KJ,0.12 g,12.9 g,2.7 g
Aperitivo vegetal ecológico Ecocesta 70 g.,"2,59 €",23.6 g,508 Kcal,2122 KJ,3.0 g,63.20 g,4.1 g
Tiramisú Carrefour Original pack de 2 unidades de 80 g.,"1,17 €",9.7 g,286 Kcal,1201 KJ,0.23 g,42.0 g,5.0 g
Arroz largo ecológico Carrefour Bio 1 kg,"3,09 €",0.4 g,354 Kcal,1504 KJ,0.01 g,80.4 g,6.7 g
Mantequilla con sal Président 250 g.,"4,15 €",80 g,727 Kcal,2989 KJ,2 g,1 g,0.7 g
Crema de queso Philadelphia sin lactosa 150 g.,"2,79 €",27 g,277 Kcal,1142 KJ,0.86 g,2.7 g,4.4 g
"Bolsita de manzana, pera y plátano desde 4 meses ecológica Hipp sin gluten 100 g.","1,91 €",0.2 g,60 Kcal,253 KJ,0.05 g,12.9 g,0.5 g
Sardinillas en aceite de oliva Calvo 60 g.,"1,71 €",28 g,323 Kcal,1348 KJ,1 g,0 g,18 g
"Harina preparada para tempura de verduras, carnes y pescados Santa Rita 500 g.","3,25 €",1.6 g,330.0 Kcal,1399.0 KJ,6.2 g,71.0 g,7.5 g
Atún claro al natural bajo en sal Calvo pack de 3 latas de 56 g.,"4,85 €",0.7 g,96 Kcal,401 KJ,0.25 g,0 g,22 g
Mostaza a la miel Maille tarro 230 g.,"4,09 €",7 g,240 Kcal,1000 KJ,3 g,36 g,5 g
Tiras de potón del pacífico al punto de sal congelado Pescanova 400 g.,"4,95 €",1.3 g,48 Kcal,203 KJ,1.08 g,0 g,9.1 g
"Bolsita de manzana, fresa, plátano y arándanos ecológica Hero Solo sin gluten pack de 4 unidades de 100 g.","6,29 €",0.2 g,56.8 Kcal,240 KJ,0.00 g,12.5 g,0.5 g
Taquitos de chorizo Revilla sin gluten 150 g.,"1,89 €",26 g,332 Kcal,1379 KJ,3.5 g,2.5 g,22 g
Yogur con vainilla ecológico Casa Grande de Xanceda sin gluten pack de 2 unidades de 125 g.,"2,15 €",4.0 g,113.7 Kcal,478.5 KJ,0.07 g,15.5 g,3.4 g
Aceitunas verdes rellenas de anchoa 35% menos de sal Ligeras Serpis sin gluten y sin lactosa 150 g.,"2,05 €",15 g,151 Kcal,619 KJ,2.3 g,0.5 g,1.4 g
Café en cápsulas Lavazza Qualitá Oro compatible con Nespresso 10 ud.,"3,99 €",15.7 g,348.0 Kcal,1432.0 KJ,0.0 g,10.3 g,15.5 g
"Cacao soluble original Cola Cao 2,5 kg.","14,89 €",2.5 g,377 Kcal,1593 KJ,0.1 g,78 g,6.6 g
Mini tortillas de trigo Old el Paso 220 g.,"2,75 €",5.2 g,299 Kcal,1264 KJ,1 g,53.2 g,9.1 g
Napolitanas rellenas de crema Classic' Carrefour 320 g.,"1,55 €",21.0 g,406.0 Kcal,1697.0 KJ,0 g,48.0 g,5.0 g
Freixenet Joven,"7,65 €",0 g,25 Kcal,106 KJ,0.01 g,6 g,0 g
Fideos arco iris Vahiné 71 g.,"2,25 €",1.7 g,404 Kcal,1716 KJ,0 g,97 g,0 g
Bizcochos marmolados con cacao Proceli sin gluten y sin lactosa 180 g.,"3,19 €",19.0 g,419.0 Kcal,1735.0 KJ,0.34 g,56.0 g,4.6 g
Chocolate negro Nestlé Dark sin gluten 125 g.,"1,89 €",29.3 g,524 Kcal,2188 KJ,0.0 g,55.2 g,6.2 g
Queso La Brique ecológico Carrefour Bio 180 g,"2,99 €",25 g,301 Kcal,1248 KJ,1.4 g,1 g,18 g
Queso en dados en salmuera Apetina sin lactosa 200 g.,"4,25 €",9.6 g,156.0 Kcal,650.0 KJ,2.8 g,0.5 g,17.0 g
Picos con aceite de oliva Quely 225 g.,"1,07 €",15 g,448 Kcal,1885 KJ,2.2 g,67 g,8.9 g
Cerveza Erdinger Weissbier alemana de trigo botella 50 cl,"2,19 €",0.0 g,44.0 Kcal,185.0 KJ,1.3 g,2.6 g,0.6 g
Leche fermentada líquida sabor fresa Danone - Actimel kids pack de 14 unidades de 100 g.,"6,99 €",1.5 g,67.0 Kcal,279.0 KJ,0.1 g,10.5 g,2.8 g
Queso rallado Cheddar & Mozzarella Arla 150 g.,"3,59 €",27 g,353 Kcal,1468 KJ,2 g,2.7 g,24 g
Pipas de girasol bajo contenido en sal Carrefour 125 g.,"1,13 €",23 g,404 Kcal,1670 KJ,1.6 g,14 g,6.9 g
Bagels clásico Bimbo 4 ud.,"2,65 €",2.7 g,286 Kcal,1209 KJ,0.73 g,53 g,11 g
Queso de vaca semicurado 200 g.,"2,09 €",33 g,391 Kcal,1621 KJ,1.5 g,,23 g
Batido de cacao sin azúcar añadido Shake Cola Cao sin gluten 200 ml.,"1,68 €",0.4 g,42 Kcal,177 KJ,0.16 g,4.9 g,4.0 g
Helado Bombón Butter Cookie Milka  3 ud.,"4,35 €",23 g,369 Kcal,1539 KJ,0.27 g,37 g,4.1 g
Leche entera Pascual pack de 6 briks de 200 ml.,"2,85 €",3.6 g,64 Kcal,266 KJ,0.12 g,4.6 g,3.2 g
Preparado lácteo Buenas Noches Puleva sin lactosa brik 1 l.,"1,65 €",0.4 g,35 Kcal,149 KJ,0.15 g,4.9 g,3.0 g
Tarrito de guisantes tiernos con jamón cocido extra desde 6 meses Hero Baby sin gluten pack de 6 unidades de 190 g.,"10,49 €",2.3 g,72 Kcal,302 KJ,0.03 g,8.4 g,3.3 g
Edulcorante Classic  granulado en sobres Natreen 50 g.,"4,25 €",0 g,387 Kcal,1645 KJ,1.13 g,96 g,0.9 g
Jugo condimento Maggi botella 125 g.,"3,25 €",0.1 g,68 Kcal,292 KJ,18.2 g,6.5 g,9.8 g
Lenteja pardina cocida categoría extra De Nuestra Tierra 400 g.,"1,75 €",0 g,88 Kcal,370 KJ,0.69 g,13 g,6.6 g
Caramelo con palo sabor fresa Melody Pops Chupa Chups 15 g.,"1,00 €",0 g,391 Kcal,1661 KJ,0.02 g,97 g,0 g
Pistachos tostados sin sal Wonderful 220 g.,"7,39 €",46 g,590 Kcal,2445 KJ,0 g,18 g,21 g
"Granola natural de arándano, amaranto y cardamomo ecológica Natural Athlete 325 g.","8,25 €",35.56 g,534 Kcal,2232 KJ,0.84 g,36.39 g,14.90 g
Chocolate relleno de galleta Milka Choco Swing pack de 2 unidades de 300 g.,"6,79 €",35 g,562 Kcal,2344 KJ,0.28 g,56 g,4.9 g
Aceite de oliva virgen extra hojiblanca Carrefour 1 l.,"9,95 €",100 g,900 Kcal,3700 KJ,,,
Nata para cocinar Central Lechera Asturiana 500 ml.,"3,05 €",18 g,189 Kcal,782 KJ,0.1 g,4.4 g,2.4 g
Caramelos masticables de frutas Skittles 174 g.,"3,55 €",4.20 g,397.0 Kcal,1683.0 KJ,0.3 g,89.0 g,0 g
Paella de verduras y pollo Carretilla sin gluten 250 g.,"3,25 €",9.2 g,177 Kcal,740 KJ,1.4 g,19.3 g,3.8 g
Chocolate extrafino con leche y cereales crujientes 100 g.,"0,65 €",25.0 g,504.0 Kcal,2109.0 KJ,0.55 g,61.0 g,7.8 g
Infusión quema grasa en bolsitas Pompadour 25 ud.,"2,89 €",0 g,1 Kcal,3 KJ,,0 g,0 g
Pechuga de pavo ecológica en lonchas Carrefour Bio sin gluten 90 g,"2,65 €",1.7 g,102 Kcal,430 KJ,1.1 g,0.6 g,21 g
Caramelos de goma Frutissima Veggie Haribo 150 g.,"2,39 €",0.5 g,350 Kcal,1486 KJ,0.32 g,89 g,0.5 g
Helado Bombón Clásico Magnun sin gluten 6 ud.,"7,49 €",14 g,231 Kcal,965 KJ,0.09 g,23 g,2.5 g
Anillas a la Romana con Formas Carrefour 400 g,"3,20 €",7.3 g,206.0 Kcal,865.0 KJ,1.75 g,27.3 g,6.6 g
Cereales Special K Granola Dark Choco 320 gr.,"3,45 €",17 g,469 Kcal,1968 KJ,0.01 g,65 g,9.3 g
Cocktail de frutos secos tostados sin sal añadida Fuerza Original Carrefour 175 g.,"2,25 €",46.0 g,593.0 Kcal,2459.0 KJ,0.01 g,21.0 g,20.0 g
Magdalenas caseras 420 g,"3,89 €",22 g,428 Kcal,1792 KJ,0.65 g,53 g,5 g
Yogur líquido fresa y plátano Carrefour Classic´sin gluten 1 kg.,"1,45 €",2 g,74 Kcal,312 KJ,0.11 g,11 g,2.6 g
Papilla infantil desde 6 meses galleta maría líquida Nestlé pack de 2 unidades de 250 ml.,"2,59 €",2.6 g,89.0 Kcal,374.0 KJ,0.07 g,13.2 g,2.8 g
Migas con chistorra Palacios pack 2 unidades de 250 g.,"4,25 €",10 g,309 Kcal,1301 KJ,2 g,46 g,7.7 g
Cabecero de Lomo en lonchas Boadas 1880 Al Corte sin gluten 90 g,"3,49 €",23 g,347 Kcal,1448 KJ,2.1 g,0.5 g,35 g
Chorizo ibérico velita 7Hermanos sin gluten y sin lactosa 400 g,"6,30 €",37.8 g,455 Kcal,1887 KJ,3.8 g,1.6 g,27.1 g
