vendor,name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas,url
Carrefour,Patatas fritas lisas Carrefour 350 g.,2.45,35 g,549 Kcal,2289 KJ,0.92 g,50 g,6.8 g,https://www.carrefour.es/supermercado/patatas-fritas-lisas-carrefour-350-g/R-711911126/p
Carrefour,Galletas con tableta de chocolate negro Petit écolier 150 g.,2.95,25 g,502 Kcal,2101 KJ,0.56 g,61 g,6.4 g,https://www.carrefour.es/supermercado/galletas-con-tableta-de-chocolate-negro-petit-ecolier-150-g/R-521002899/p
Carrefour,Crema de avellana ecológica Carrefour Bio sin gluten 290 g.,6.75,67 g,706 Kcal,2913 KJ,0.01 g,5.5 g,17 g,https://www.carrefour.es/supermercado/crema-de-avellana-ecologica-carrefour-bio-sin-gluten-290-g/R-VC4AECOMM-066390/p
Carrefour,Galletas bañadas con chocolate negro Filipinos Artiach 128 g.,1.53,26 g,509 Kcal,2130 KJ,0.28 g,60 g,6.8 g,https://www.carrefour.es/supermercado/galletas-banadas-con-chocolate-negro-filipinos-artiach-128-g/R-760106397/p
Carrefour,Sazonador chipotle ahumado Ducros 46 g.,3.79,15 g,337 Kcal,1397 KJ,2.0 g,21 g,13 g,https://www.carrefour.es/supermercado/sazonador-chipotle-ahumado-ducros-46-g/R-VC4AECOMM-302223/p
Carrefour,Caldo de hortalizas Carrefour sin gluten 1 l.,1.05,,8 Kcal,35 KJ,0.65 g,1.3 g,0.3 g,https://www.carrefour.es/supermercado/caldo-de-hortalizas-carrefour-sin-gluten-1-l/R-521005791/p
Carrefour,Leche desnatada Carrefour sin lactosa brik 1 l.,0.93,0.5 g,35 Kcal,147 KJ,0.13 g,4.8 g,3.2 g,https://www.carrefour.es/supermercado/leche-desnatada-carrefour-sin-lactosa-brik-1-l/R-714713109/p
Carrefour,Mojito By J.A.N sin alcohol 70 cl.,3.99,0 g,48 Kcal,203 KJ,0.1 g,12 g,0 g,https://www.carrefour.es/supermercado/mojito-by-jan-sin-alcohol-70-cl/R-fprod1390023/p
Carrefour,Trencinas Carrefour El Mercado 500 g,2.69,4 g,388 Kcal,1625 KJ,2.3 g,77.4 g,10.5 g,https://www.carrefour.es/supermercado/trencinas-carrefour-el-mercado-500-g/R-604204039/p
Carrefour,"Tarrito de pera, plátano y zanahoria desde 4 meses ecológico Hero Solo sin gluten 120 g.",1.67,0.2 g,51 Kcal,216 KJ,0.03 g,11 g,0.6 g,https://www.carrefour.es/supermercado/tarrito-de-pera-platano-y-zanahoria-desde-4-meses-ecologico-hero-solo-sin-gluten-120-g/R-833209535/p
Carrefour,Pasta oriental noodles sabor pollo Fusian Maggi  71 g.,0.90,16.9 g,452.0 Kcal,1897.0 KJ,0.81 g,64.2 g,9.4 g,https://www.carrefour.es/supermercado/pasta-oriental-noodles-sabor-pollo-fusian-maggi-71-g/R-521012562/p
Carrefour,Snacks Trikers tex mex Risi sin gluten 180 g.,1.99,27.8 g,518.0 Kcal,2166.0 KJ,1.1 g,60.8 g,6.1 g,https://www.carrefour.es/supermercado/snacks-trikers-tex-mex-risi-sin-gluten-180-g/R-VC4AECOMM-652692/p
Carrefour,Magdalenas mini estilo tradicional con pepitas de chocolate The Rustik Bakery 190 g.,3.29,16 g,398 Kcal,1671 KJ,0.48 g,56 g,5.9 g,https://www.carrefour.es/supermercado/magdalenas-mini-estilo-tradicional-con-pepitas-de-chocolate-the-rustik-bakery-190-g/R-VC4AECOMM-695042/p
Carrefour,Bracitos cacao relleno de trufa Dulcesol 4 ud.,0.96,18 g,426 Kcal,1789 KJ,0.43 g,61 g,4 g,https://www.carrefour.es/supermercado/bracitos-cacao-relleno-de-trufa-dulcesol-4-ud/R-VC4AECOMM-144612/p
Carrefour,Sidra Strongbow Cider sabor manzana lata 50 cl,2.99,0 g,36 Kcal,152 KJ,0 g,1.6 g,0 g,https://www.carrefour.es/supermercado/sidra-strongbow-cider-sabor-manzana-lata-50-cl/R-VC4AECOMM-189559/p
Carrefour,Monster Energy Bebida Energética ultra fiesta mango zero azúcar lata 50 cl.,1.95,0 g,3.0 Kcal,11.0 KJ,0.2 g,1.3 g,0 g,https://www.carrefour.es/supermercado/monster-energy-bebida-energetica-ultra-fiesta-mango-zero-azucar-lata-50-cl/R-VC4AECOMM-687230/p
Carrefour,Café latte sin azúcares añadidos Kaiku sin gluten sin lactosa 230 ml.,1.81,2.1 g,49 Kcal,207 KJ,0.08 g,4.5 g,3.0 g,https://www.carrefour.es/supermercado/cafe-latte-sin-azucares-anadidos-kaiku-sin-gluten-sin-lactosa-230-ml/R-836507237/p
Carrefour,Tarrina de bombones de chocolate y pistacho Extra Carrefour 18 ud,2.95,21 g,307 Kcal,1279 KJ,0.11 g,26 g,3.8 g,https://www.carrefour.es/supermercado/tarrina-de-bombones-de-chocolate-y-pistacho-extra-carrefour-18-ud/R-VC4AECOMM-096478/p
Carrefour,Biscottes integrales ecológicos Carrefour Bio 300 g.,3.39,5.0 g,378.0 Kcal,1596.0 KJ,1.27 g,64.0 g,15.0 g,https://www.carrefour.es/supermercado/biscottes-integrales-ecologicos-carrefour-bio-300-g/R-624066602/p
Carrefour,Preparado de soja con mango Sojasun sin gluten sin lactosa pack de 4 unidades de 100 g.,2.79,2.1 g,81 Kcal,341 KJ,0.06 g,11.6 g,3.7 g,https://www.carrefour.es/supermercado/preparado-de-soja-con-mango-sojasun-sin-gluten-sin-lactosa-pack-de-4-unidades-de-100-g/R-613004438/p
Carrefour,Chocolate con leche relleno de galletas filipinos Nestlé Extrafino 84 g.,1.22,33.5 g,557.0 Kcal,2324.0 KJ,0.07 g,58.7 g,4.4 g,https://www.carrefour.es/supermercado/chocolate-con-leche-relleno-de-galletas-filipinos-nestle-extrafino-84-g/R-VC4AECOMM-033685/p
Carrefour,Zumo de manzana Carrefour pack de 6 briks de 20 cl.,1.08,0 g,46 Kcal,192.59 KJ,0.03 g,11 g,0.5 g,https://www.carrefour.es/supermercado/zumo-de-manzana-carrefour-pack-de-6-briks-de-20-cl/R-704502395/p
Carrefour,Macarrones con chorizo en salsa de tomate Carretilla 300 g.,2.99,8.1 g,151 Kcal,632 KJ,1.34 g,14.6 g,4.6 g,https://www.carrefour.es/supermercado/macarrones-con-chorizo-en-salsa-de-tomate-carretilla-300-g/R-VC4AECOMM-465448/p
Carrefour,Capricho Mar Pescanova 600 g.,4.85,12.2 g,225 Kcal,941 KJ,1.58 g,22.4 g,5.7 g,https://www.carrefour.es/supermercado/capricho-mar-pescanova-600-g/R-521031277/p
Carrefour,Hogaza de pan rústico recondo 24 rebanadas 240 g.,2.45,4 g,386 Kcal,1632 KJ,1.6 g,71 g,14 g,https://www.carrefour.es/supermercado/hogaza-de-pan-rustico-recondo-24-rebanadas-240-g/R-590209361/p
Carrefour,Crema de cacao con avellanas Nocilla sin gluten 320 g.,3.89,33 g,550 Kcal,2296 KJ,0.14 g,57 g,4.8 g,https://www.carrefour.es/supermercado/crema-de-cacao-con-avellanas-nocilla-sin-gluten-320-g/R-prod810290/p
Carrefour,Edulcorante de eritritol y stevia granulado Canderel 500 g.,7.39,0.2 g,1 Kcal,4 KJ,0 g,99 g,0 g,https://www.carrefour.es/supermercado/edulcorante-de-eritritol-y-stevia-granulado-canderel-500-g/R-VC4AECOMM-616625/p
Carrefour,Paella Valenciana Carrefour El Mercado 300 g,3.35,4.6 g,167 Kcal,705 KJ,1.10 g,22.2 g,8.7 g,https://www.carrefour.es/supermercado/paella-valenciana-carrefour-el-mercado-300-g/R-VC4AECOMM-721667/p
Carrefour,Pimientos del piquillo enteros bajo contenido en sal Carrefour 225 g.,2.55,0 g,39 Kcal,163 KJ,0.25 g,6.3 g,1.3 g,https://www.carrefour.es/supermercado/pimientos-del-piquillo-enteros-bajo-contenido-en-sal-carrefour-225-g/R-825606407/p
Carrefour,Bombones de chocolate blanco Lindt Lindor 200 g.,6.99,50 g,640 Kcal,2656 KJ,0.2 g,42 g,5.3 g,https://www.carrefour.es/supermercado/bombones-de-chocolate-blanco-lindt-lindor-200-g/R-526538873/p
Carrefour,Pan Pannier plus mediana 300 g,1.29,1.4 g,252 Kcal,1056 KJ,1.5 g,52 g,7 g,https://www.carrefour.es/supermercado/pan-pannier-plus-mediana-300-g/R-prod760139/p
Carrefour,Chocolate negro 85% Lindt Excellence 100 g.,3.15,46 g,530 Kcal,2210 KJ,0.08 g,19 g,11 g,https://www.carrefour.es/supermercado/chocolate-negro-85-lindt-excellence-100-g/R-521004205/p
Carrefour,Caña de hojaldre con crema de cacao Carrefour 4 ud,3.89,26.9 g,497.9 Kcal,2081 KJ,0.8 g,58.2 g,5.8 g,https://www.carrefour.es/supermercado/cana-de-hojaldre-con-crema-de-cacao-carrefour-4-ud/R-525955766/p
Carrefour,Risotto de setas Carretilla 250 g.,3.45,3.3 g,100 Kcal,422 KJ,1.0 g,14.4 g,3.0 g,https://www.carrefour.es/supermercado/risotto-de-setas-carretilla-250-g/R-700507729/p
Carrefour,Puntilla cruda congelada Delfín 450 g.,5.09,1 g,49 Kcal,207 KJ,0.13 g,0 g,10 g,https://www.carrefour.es/supermercado/puntilla-cruda-congelada-delfin-450-g/R-prod971329/p
Carrefour,Chocolate a la taza listo para tomar Ram sin gluten brik 1 l.,2.59,1.6 g,112 Kcal,472 KJ,0.13 g,22.0 g,2.5 g,https://www.carrefour.es/supermercado/chocolate-a-la-taza-listo-para-tomar-ram-sin-gluten-brik-1-l/R-521007105/p
Carrefour,Magdalenas valencianas Carrefour No Gluten sin gluten y sin lactosa 220 g.,4.39,19.1 g,396.0 Kcal,1657.0 KJ,,50.5 g,4.2 g,https://www.carrefour.es/supermercado/magdalenas-valencianas-carrefour-no-gluten-sin-gluten-y-sin-lactosa-220-g/R-VC4AECOMM-434160/p
Carrefour,Muslos de pato confitados Extra Carrefour 470 g.,15.69,25 g,325 Kcal,1348 KJ,1.1 g,0.9 g,24 g,https://www.carrefour.es/supermercado/muslos-de-pato-confitados-extra-carrefour-470-g/R-fprod1480288/p
Carrefour,Galleta María Carrefour 800 g.,1.55,9.3 g,431 Kcal,1818 KJ,0.9 g,78 g,7.5 g,https://www.carrefour.es/supermercado/galleta-maria-carrefour-800-g/R-VC4AECOMM-602603/p
Carrefour,Judías verdes con patata Classic Carrefour 1 kg,1.92,0 g,38 Kcal,161 KJ,0.05 g,6.5 g,1.5 g,https://www.carrefour.es/supermercado/judias-verdes-con-patata-classic-carrefour-1-kg/R-VC4AECOMM-570694/p
Carrefour,Cerveza Estrella Galicia especial pack de 12 botellas de 25 cl.,7.79,0 g,47 Kcal,197 KJ,0 g,3.5 g,0 g,https://www.carrefour.es/supermercado/cerveza-estrella-galicia-especial-pack-de-12-botellas-de-25-cl/R-538408265/p
Carrefour,Aceite de oliva virgen extra arbequina Dcoop 1 l.,14.89,100 g,900 Kcal,3700 KJ,0 g,0 g,0 g,https://www.carrefour.es/supermercado/aceite-de-oliva-virgen-extra-arbequina-dcoop-1-l/R-VC4AECOMM-442670/p
Carrefour,Crema catalana con azúcar caramelizado Carrefour Original sin gluten pack de 4 unidades de 100 g.,2.85,12 g,208 Kcal,871 KJ,0.15 g,22 g,4.5 g,https://www.carrefour.es/supermercado/crema-catalana-con-azucar-caramelizado-carrefour-original-sin-gluten-pack-de-4-unidades-de-100-g/R-VC4AECOMM-598944/p
Carrefour,Yogur azucarado natural Nestlé La Lechera pack de 4 unidades de 125 g.,2.75,3.4 g,98 Kcal,410 KJ,0.15 g,13.4 g,3.4 g,https://www.carrefour.es/supermercado/yogur-azucarado-natural-nestle-la-lechera-pack-de-4-unidades-de-125-g/R-825502400/p
Carrefour,Bebida tropical Carrefour sin azúcar añadido brik 1 l.,0.60,,28 Kcal,117 KJ,,6.1 g,,https://www.carrefour.es/supermercado/bebida-tropical-carrefour-sin-azucar-anadido-brik-1-l/R-prod730838/p
Carrefour,Barritas de galleta crujiente cubiertas de chocolate con leche Nestlé Kit Kat 5 ud.,2.99,26.8 g,514 Kcal,2151 KJ,0.14 g,59.0 g,7.8 g,https://www.carrefour.es/supermercado/barritas-de-galleta-crujiente-cubiertas-de-chocolate-con-leche-nestle-kit-kat-5-ud/R-521004391/p
Carrefour,Pan Burguer Goiko 150 g,1.99,9.1 g,324 Kcal,1365 KJ,0.77 g,50 g,9.0 g,https://www.carrefour.es/supermercado/pan-burguer-goiko-150-g/R-VC4AECOMM-118677/p
Carrefour,Queso fundido en lonchas Simpl 300 g.,1.15,15 g,223 Kcal,929 KJ,3.5 g,10 g,12 g,https://www.carrefour.es/supermercado/queso-fundido-en-lonchas-simpl-300-g/R-VC4AECOMM-110225/p
Carrefour,"Longaniza de Pavo Extra Carrefour sin gluten pack de 2 unidades de 62,5 g",2.39,18 g,304 Kcal,1268 KJ,4.3 g,4.4 g,31 g,https://www.carrefour.es/supermercado/longaniza-de-pavo-extra-carrefour-sin-gluten-pack-de-2-unidades-de-625-g/R-VC4AECOMM-709763/p
Carrefour,Pacharán De Nuestra Tierra 70 cl.,12.39,,267.4 Kcal,1115.3 KJ,0.0091 g,17.0 g,,https://www.carrefour.es/supermercado/pacharan-de-nuestra-tierra-70-cl/R-prod710159/p
Carrefour,Papilla infantil desde 6 meses 8 cereales galletas María Nutribén sin aceite de palma 600 g.,5.95,2 g,397 Kcal,1682 KJ,0.05 g,86.7 g,6.7 g,https://www.carrefour.es/supermercado/papilla-infantil-desde-6-meses-8-cereales-galletas-maria-nutriben-sin-aceite-de-palma-600-g/R-804324052/p
Carrefour,Galletas de mantequilla con chocolate Minus L sin lactosa 125 g.,4.19,30.1 g,541 Kcal,2259 KJ,0.4 g,60.8 g,5.7 g,https://www.carrefour.es/supermercado/galletas-de-mantequilla-con-chocolate-minus-l-sin-lactosa-125-g/R-701717737/p
Carrefour,Lasaña boloñesa Carrefour Extra 375 g.,2.99,5.1 g,105 Kcal,437 KJ,1 g,11.1 g,3.6 g,https://www.carrefour.es/supermercado/lasana-bolonesa-carrefour-extra-375-g/R-762341876/p
Carrefour,Patatas fritas onduladas sour cream & onion Risi sin gluten 150 g.,1.85,26.0 g,498.0 Kcal,2082.0 KJ,1.5 g,57.4 g,6.2 g,https://www.carrefour.es/supermercado/patatas-fritas-onduladas-sour-cream-onion-risi-sin-gluten-150-g/R-VC4AECOMM-074809/p
Carrefour,Pisto fritada de hortalizas  Montey lata 420 g.,0.73,3.10 g,74.70 Kcal,312.00 KJ,0.23 g,11.90 g,1.40 g,https://www.carrefour.es/supermercado/pisto-fritada-de-hortalizas-montey-lata-420-g/R-852900706/p
Carrefour,Chocolate con leche y galleta relleno de crema caramelo Maxibon Extrafino Nestlé 235 g,3.25,29.9 g,526 Kcal,2197 KJ,0.25 g,58.5 g,5.2 g,https://www.carrefour.es/supermercado/chocolate-con-leche-y-galleta-relleno-de-crema-caramelo-maxibon-extrafino-nestle-235-g/R-VC4AECOMM-085633/p
Carrefour,Barrina energénita sabor melocotón Gummy Power Just Loading pack de 3 unidades de 30 g.,2.99,0.1 g,336.0 Kcal,1426.0 KJ,1.04 g,82.5 g,0.1 g,https://www.carrefour.es/supermercado/barrina-energenita-sabor-melocoton-gummy-power-just-loading-pack-de-3-unidades-de-30-g/R-VC4AECOMM-206963/p
Carrefour,Queso de mezcla curado Gran Capitán pieza de 860 g,19.05,37 g,438 Kcal,1815 KJ,1.7 g,1.5 g,25 g,https://www.carrefour.es/supermercado/queso-de-mezcla-curado-gran-capitan-pieza-de-860-g/R-VC4AECOMM-685489/p
Carrefour,Pizza 4 quesos Casa Tarradellas pack de 2 unidades de 210 g.,3.35,9.3 g,276 Kcal,1161 KJ,1.2 g,34 g,13.8 g,https://www.carrefour.es/supermercado/pizza-4-quesos-casa-tarradellas-pack-de-2-unidades-de-210-g/R-521030219/p
Carrefour,Champiñones enteros Classic Carrefour 230 g.,1.86,0 g,19 Kcal,80 KJ,0.58 g,0.6 g,2.6 g,https://www.carrefour.es/supermercado/champinones-enteros-classic-carrefour-230-g/R-521005932/p
Carrefour,Raviolis de crema de calabaza y cebolla caramelizada Rana de la Huerta 250 g.,4.15,7.8 g,247 Kcal,1037 KJ,0.73 g,32.0 g,8.8 g,https://www.carrefour.es/supermercado/raviolis-de-crema-de-calabaza-y-cebolla-caramelizada-rana-de-la-huerta-250-g/R-797608320/p
Carrefour,"Bolsita de naranja, plátano, pera y galleta Hero Mi Fruta sin azúcar añadido 100 g.",1.30,0.3 g,72 Kcal,303 KJ,0.01 g,15.1 g,1.3 g,https://www.carrefour.es/supermercado/bolsita-de-naranja-platano-pera-y-galleta-hero-mi-fruta-sin-azucar-anadido-100-g/R-677701657/p
Carrefour,Cerveza especial Carrefour botella 1 l.,1.44,0.1 g,49 Kcal,203 KJ,0.02 g,3.9 g,0.32 g,https://www.carrefour.es/supermercado/cerveza-especial-carrefour-botella-1-l/R-VC4AECOMM-791559/p
Carrefour,Doble caldo carne Knorr sin gluten y sin lactosa 18 pastillas,1.86,0.5 g,5 Kcal,21 KJ,1.1 g,0.5 g,0.5 g,https://www.carrefour.es/supermercado/doble-caldo-carne-knorr-sin-gluten-y-sin-lactosa-18-pastillas/R-fprod1260306/p
Carrefour,Copa de chocolate con nata Nestlé - La Lechera pack de 4 unidades de 90 g.,2.49,11.5 g,195 Kcal,815 KJ,0.13 g,18.6 g,3.7 g,https://www.carrefour.es/supermercado/copa-de-chocolate-con-nata-nestle-la-lechera-pack-de-4-unidades-de-90-g/R-737516179/p
Carrefour,Queso ibérico curado Extra Carrefour cuña 280 g.,4.39,37 g,443 Kcal,1837 KJ,2 g,0 g,27 g,https://www.carrefour.es/supermercado/queso-iberico-curado-extra-carrefour-cuna-280-g/R-VC4AECOMM-080639/p
Carrefour,Lionesas sabor Nata 300 g,6.90,21.09 g,294.14 Kcal,1223.52 KJ,0.33 g,22.24 g,3.63 g,https://www.carrefour.es/supermercado/lionesas-sabor-nata-300-g/R-VC4AECOMM-144559/p
Carrefour,"Refresco de manzana Carrefour sin gas botella 1,5 l.",0.99,0.5 g,28 Kcal,118 KJ,0.01 g,6.6 g,0.5 g,https://www.carrefour.es/supermercado/refresco-de-manzana-carrefour-sin-gas-botella-15-l/R-625820249/p
Carrefour,Pan de molde integral sin corteza Carrefour 450 g.,1.30,2.8 g,231 Kcal,976 KJ,1.0 g,39 g,9.7 g,https://www.carrefour.es/supermercado/pan-de-molde-integral-sin-corteza-carrefour-450-g/R-VC4AECOMM-436738/p
Carrefour,Cerveza San Miguel especial Lager pack de 12 latas de 33 cl.,8.40,0 g,49 Kcal,204 KJ,0 g,4.1 g,0.4 g,https://www.carrefour.es/supermercado/cerveza-san-miguel-especial-lager-pack-de-12-latas-de-33-cl/R-526715416/p
Carrefour,Margarina con girasol Carrefour 500 g.,1.93,60 g,544 Kcal,2237 KJ,0.4 g,0.5 g,0.5 g,https://www.carrefour.es/supermercado/margarina-con-girasol-carrefour-500-g/R-prod830318/p
Carrefour,Kéfir de avena y nueces Carrefour Sensation pack de 4 unidades de 125 g.,2.95,6 g,111 Kcal,465 KJ,0 g,12 g,3 g,https://www.carrefour.es/supermercado/kefir-de-avena-y-nueces-carrefour-sensation-pack-de-4-unidades-de-125-g/R-VC4AECOMM-445359/p
Carrefour,Huevo de chocolate con sorpresa Kinder Joy 6 ud.,7.39,32.0 g,550 Kcal,2296 KJ,0.318 g,56.5 g,8.2 g,https://www.carrefour.es/supermercado/huevo-de-chocolate-con-sorpresa-kinder-joy-6-ud/R-601401262/p
Carrefour,Albóndigas de Pavo Carrefour 375 g,4.29,1.8 g,117.0 Kcal,495.0 KJ,1.6 g,6.9 g,17.5 g,https://www.carrefour.es/supermercado/albondigas-de-pavo-carrefour-375-g/R-VC4AECOMM-451185/p
Carrefour,Tónica Schweppes zero lata 33 cl.,0.95,0.0 g,2 Kcal,8 KJ,0.05 g,0.0 g,0.0 g,https://www.carrefour.es/supermercado/tonica-schweppes-zero-lata-33-cl/R-520660426/p
Carrefour,Bombón helado con chocolate blanco y galleta Collection Magnum 3 ud.,4.85,15 g,260 Kcal,1090 KJ,0.17 g,28 g,3.2 g,https://www.carrefour.es/supermercado/bombon-helado-con-chocolate-blanco-y-galleta-collection-magnum-3-ud/R-prod1140030/p
Carrefour,Caramelos de goma Mega Jelly Mix Vidal sin gluten 400 g.,4.39,0.2 g,341 Kcal,1448 KJ,0.13 g,79 g,4.5 g,https://www.carrefour.es/supermercado/caramelos-de-goma-mega-jelly-mix-vidal-sin-gluten-400-g/R-526539051/p
Carrefour,Pan de molde rústico 600 g,2.59,3 g,274 Kcal,1158 KJ,1.3 g,50 g,10 g,https://www.carrefour.es/supermercado/pan-de-molde-rustico-600-g/R-525964718/p
Carrefour,Magdalenas con pepitas de chocolate 420 g,3.69,23.5 g,466 Kcal,1945 KJ,0.7 g,46.6 g,5.6 g,https://www.carrefour.es/supermercado/magdalenas-con-pepitas-de-chocolate-420-g/R-525888307/p
Carrefour,Yogur natural Danone Original pack de 2 unidades de 130 g.,1.73,3.9 g,64 Kcal,269 KJ,0.10 g,4.1 g,3.2 g,https://www.carrefour.es/supermercado/yogur-natural-danone-original-pack-de-2-unidades-de-130-g/R-521029819/p
Carrefour,Bombón helado Sunlover Double Magnum sin gluten 3 ud.,5.09,18 g,318 Kcal,1328 KJ,0.19 g,34 g,4 g,https://www.carrefour.es/supermercado/bombon-helado-sunlover-double-magnum-sin-gluten-3-ud/R-VC4AECOMM-151988/p
Carrefour,Nachos sabor chile Sensation Carrefour sin gluten y sin aceite de palma 200 g.,1.20,22 g,487 Kcal,2039 KJ,0.89 g,65 g,5.2 g,https://www.carrefour.es/supermercado/nachos-sabor-chile-sensation-carrefour-sin-gluten-y-sin-aceite-de-palma-200-g/R-VC4AECOMM-696600/p
Carrefour,Pan con Pasas y Nueces 1 ud.,2.85,6 g,283 Kcal,1193 KJ,1.2 g,47 g,8.7 g,https://www.carrefour.es/supermercado/pan-con-pasas-y-nueces-1-ud/R-VC4AECOMM-614486/p
Carrefour,Pudding sabor a caramelo salado proteína plus Carrefour Sensation sin gluten y sin azúcar añadido 200 g.,1.41,1.5 g,73 Kcal,307 KJ,0.35 g,4.8 g,10 g,https://www.carrefour.es/supermercado/pudding-sabor-a-caramelo-salado-proteina-plus-carrefour-sensation-sin-gluten-y-sin-azucar-anadido-200-g/R-VC4AECOMM-185266/p
Carrefour,Crema de bogavante y cigalas Gourmet Knorr 500 ml.,3.55,2.0 g,41 Kcal,171 KJ,0.65 g,4 g,1.2 g,https://www.carrefour.es/supermercado/crema-de-bogavante-y-cigalas-gourmet-knorr-500-ml/R-fprod1370247/p
Carrefour,Queso semicurado light ya cortado García Baquero cuña 250 g,5.29,20 g,290 Kcal,1207.5 KJ,1.6 g,0.5 g,27 g,https://www.carrefour.es/supermercado/queso-semicurado-light-ya-cortado-garcia-baquero-cuna-250-g/R-prod392694/p
Carrefour,Torta de anís y sésamo Classic' Carrefour 400 g.,2.09,29.0 g,528.0 Kcal,2205.0 KJ,1.0 g,58.0 g,7.0 g,https://www.carrefour.es/supermercado/torta-de-anis-y-sesamo-classic-carrefour-400-g/R-VC4AECOMM-581106/p
Carrefour,Queso fundido en lonchas light Tranchettes La Vaca Que Ríe sin gluten 262.5 g.,2.39,7.5 g,164.0 Kcal,686.0 KJ,3.3 g,5.5 g,18.5 g,https://www.carrefour.es/supermercado/queso-fundido-en-lonchas-light-tranchettes-la-vaca-que-rie-sin-gluten-2625-g/R-782678488/p
Carrefour,Masa para pizza rectangular Buitoni 260 g.,1.99,5.5 g,280 Kcal,1183 KJ,1.5 g,46.3 g,8.6 g,https://www.carrefour.es/supermercado/masa-para-pizza-finissima-rectangular-buitoni-260-g/R-521030344/p
Carrefour,Aceite de oliva virgen extra Carrefour 500 ml.,5.95,100 g,900 Kcal,3700 KJ,,,,https://www.carrefour.es/supermercado/aceite-de-oliva-virgen-extra-carrefour-500-ml/R-prod870666/p
Carrefour,Helado Bombóm Blanco Magnum 3 ud.,4.39,14 g,230 Kcal,962 KJ,0.12 g,23 g,3.1 g,https://www.carrefour.es/supermercado/helado-bombom-blanco-magnum-3-ud/R-760106380/p
Carrefour,Mini tostadas Carrefour 200 g.,2.75,2.5 g,384.0 Kcal,1265.0 KJ,2.29 g,75.0 g,13.0 g,https://www.carrefour.es/supermercado/mini-tostadas-carrefour-200-g/R-526510765/p
Carrefour,Jamón de Pavo Cocido en finas lonchas Carrefour El Mercado sin gluten 225 g,1.65,2.5 g,85 Kcal,358 KJ,2.5 g,2.5 g,13 g,https://www.carrefour.es/supermercado/jamon-de-pavo-cocido-en-finas-lonchas-carrefour-el-mercado-sin-gluten-225-g/R-VC4AECOMM-633785/p
Carrefour,Hueva salada de maruca Carrefour El Mercado 160 g,9.50,14.60 g,320 Kcal,1341 KJ,4.65 g,3.4 g,43.7 g,https://www.carrefour.es/supermercado/hueva-salada-de-maruca-carrefour-el-mercado-160-g/R-prod1020264/p
Carrefour,Frambuesas Carrefour Classic´ 500 g.,4.39,,46 Kcal,190 KJ,,6 g,1.7 g,https://www.carrefour.es/supermercado/frambuesas-carrefour-classic-500-g/R-VC4AECOMM-025028/p
Carrefour,Ladrillos de goma sabor fresa y pica pica Classic Carrefour sin gluten 200 g.,1.14,1.4 g,371.0 Kcal,1571.0 KJ,0.33 g,87.0 g,1.2 g,https://www.carrefour.es/supermercado/ladrillos-de-goma-sabor-fresa-y-pica-pica-classic-carrefour-sin-gluten-200-g/R-VC4AECOMM-614937/p
Carrefour,Jamón Cocido Extra El Pozo Bienstar sin gluten y sin lactosa 340 g,3.79,1.5 g,94.58 Kcal,396 KJ,1.4 g,1.5 g,18.5 g,https://www.carrefour.es/supermercado/jamon-cocido-extra-el-pozo-bienstar-sin-gluten-y-sin-lactosa-340-g/R-VC4AECOMM-711221/p
Carrefour,Café cortado en cápsulas Nescafé Dolce Gusto 30 ud.,7.75,17.2 g,427 Kcal,1787 KJ,0.88 g,45.3 g,23.3 g,https://www.carrefour.es/supermercado/cafe-cortado-en-capsulas-nescafe-dolce-gusto-30-ud/R-728309413/p
Carrefour,Paté vegetal de champiñón y shiitake ecológico Alvime sin gluten 125 g.,1.86,14.7 g,192 Kcal,795 KJ,1.1 g,12.1 g,2.2 g,https://www.carrefour.es/supermercado/pate-vegetal-de-champinon-y-shiitake-ecologico-alvime-sin-gluten-125-g/R-VC4AECOMM-562098/p
Carrefour,Galletas integrales de cereales y chocolate  Florbú 400 g.,3.05,20.1 g,481 Kcal,2019 KJ,0.74 g,67 g,6.8 g,https://www.carrefour.es/supermercado/galletas-integrales-de-cereales-y-chocolate-florbu-400-g/R-816214236/p
Carrefour,Chocolate negro con almendras y naranja Lindt Premium 300 g.,7.49,35 g,547 Kcal,2279 KJ,0.07 g,47 g,7.6 g,https://www.carrefour.es/supermercado/chocolate-negro-con-almendras-y-naranja-lindt-premium-300-g/R-VC4AECOMM-530985/p
Carrefour,Pechuga de pavo en lonchas Receta Artesana El Pozo sin gluten y sin lactosa 170 g,3.49,0.5 g,72 Kcal,307.5 KJ,2.3 g,1 g,16 g,https://www.carrefour.es/supermercado/pechuga-de-pavo-en-lonchas-receta-artesana-el-pozo-sin-gluten-y-sin-lactosa-170-g/R-prod271727/p
Carrefour,Boletus en aceite de oliva De nuestra tierra 230 g.,6.69,16.53 g,168.00 Kcal,692.00 KJ,2.7 g,3.24 g,6.7 g,https://www.carrefour.es/supermercado/boletus-en-aceite-de-oliva-de-nuestra-tierra-230-g/R-fprod1370279/p
Carrefour,Nata montada azucarada ligera Carrefour spray 250 g.,1.70,20 g,234 Kcal,970 KJ,0.10 g,11 g,2.5 g,https://www.carrefour.es/supermercado/nata-montada-azucarada-ligera-carrefour-spray-250-g/R-787879747/p
